UF;MUNICÍPIO;IBGE;Comp. CNES;Parcela;Indicador de Equidade e Dimensionamento;Classificação Componente Vínculo;Classificação Componente Qualidade;Teto eSF;Qtde. eSF Credenciadas;Qtde. eSF Homologadas;Qtde. eSF Pagas;Qtde. eSF Completas;Qtde. eSF Incompletas - 75%;Qtde. eSF Incompletas - 50%;Qtde. eSF Incompletas - 25%;Componente Equidade eSF;Vínculo e Acompanhamento territorial eSF;Qualidade eSF;Parcela Adicional - Qualidade;Valor Total eSF;Implantação eSF
MG;FRONTEIRA DOS VALES;312705;JAN/2025;3/12;ESTRATO 1;BOM;BOM;2;2;2;2;2;0;0;0;R$ 36.000,00 ;R$ 12.000,00 ;R$ 12.000,00 ;R$ 0,00 ;R$ 60.000,00 ;R$ 0,00 
MG;FRUTA DE LEITE;312707;JAN/2025;3/12;ESTRATO 2;BOM;BOM;2;3;3;3;3;0;0;0;R$ 48.000,00 ;R$ 18.000,00 ;R$ 18.000,00 ;R$ 0,00 ;R$ 84.000,00 ;R$ 0,00 
MG;FRUTAL;312710;JAN/2025;3/12;ESTRATO 4;BOM;BOM;30;10;10;10;10;0;0;0;R$ 120.000,00 ;R$ 60.000,00 ;R$ 60.000,00 ;R$ 0,00 ;R$ 240.000,00 ;R$ 0,00 
MG;FUNILANDIA;312720;JAN/2025;3/12;ESTRATO 3;BOM;BOM;2;2;2;2;2;0;0;0;R$ 28.000,00 ;R$ 12.000,00 ;R$ 12.000,00 ;R$ 0,00 ;R$ 52.000,00 ;R$ 0,00 
MG;GALILEIA;312730;JAN/2025;3/12;ESTRATO 3;BOM;BOM;3;3;3;3;3;0;0;0;R$ 42.000,00 ;R$ 18.000,00 ;R$ 18.000,00 ;R$ 0,00 ;R$ 78.000,00 ;R$ 0,00 
MG;GAMELEIRAS;312733;JAN/2025;3/12;ESTRATO 2;BOM;BOM;2;3;3;3;3;0;0;0;R$ 48.000,00 ;R$ 18.000,00 ;R$ 18.000,00 ;R$ 0,00 ;R$ 84.000,00 ;R$ 0,00 
MG;GLAUCILANDIA;312735;JAN/2025;3/12;ESTRATO 2;BOM;BOM;1;2;2;2;2;0;0;0;R$ 32.000,00 ;R$ 12.000,00 ;R$ 12.000,00 ;R$ 0,00 ;R$ 56.000,00 ;R$ 0,00 
MG;GOIABEIRA;312737;JAN/2025;3/12;ESTRATO 3;BOM;BOM;1;2;2;2;2;0;0;0;R$ 28.000,00 ;R$ 12.000,00 ;R$ 12.000,00 ;R$ 0,00 ;R$ 52.000,00 ;R$ 0,00 
MG;GOIANA;312738;JAN/2025;3/12;ESTRATO 4;BOM;BOM;2;1;1;1;1;0;0;0;R$ 12.000,00 ;R$ 6.000,00 ;R$ 6.000,00 ;R$ 0,00 ;R$ 24.000,00 ;R$ 0,00 
MG;GONCALVES;312740;JAN/2025;3/12;ESTRATO 3;BOM;BOM;2;2;2;2;2;0;0;0;R$ 28.000,00 ;R$ 12.000,00 ;R$ 12.000,00 ;R$ 0,00 ;R$ 52.000,00 ;R$ 0,00 
